order_id,customer_age,region,membership,channel,category,price,quantity,amount,amount_log,is_premium,amount_class,membership_ord,region_경기,region_대구,region_부산,region_서울,region_인천,ch_app,ch_web,cat_가전,cat_도서,cat_뷰티,cat_식품,cat_패션,customer_age_scaled,amount_scaled,quantity_scaled
O00002,24.0,대구,basic,app,가전,249900.0,3,749700.0,13.527429739357144,0,high,1,0,1,0,0,0,1,0,1,0,0,0,0,-0.9166666666666666,10.141428571428571,2.0
O00003,45.0,부산,basic,web,패션,19900.0,1,19900.0,9.898525260706313,0,low,1,0,0,1,0,0,0,1,0,0,0,0,1,0.8333333333333334,-0.2842857142857143,0.0
O00005,41.0,서울,basic,app,패션,19900.0,1,19900.0,9.898525260706313,0,low,1,0,0,0,1,0,1,0,0,0,0,0,1,0.5,-0.2842857142857143,0.0
O00007,41.0,서울,silver,app,뷰티,19900.0,3,59700.0,10.997104049659168,0,mid,2,0,0,0,1,0,1,0,0,0,1,0,0,0.5,0.2842857142857143,2.0
O00008,34.0,인천,silver,web,패션,129900.0,3,389700.0,12.873135057399978,0,high,2,0,0,0,0,1,0,1,0,0,0,0,1,-0.08333333333333333,4.998571428571428,2.0
O00010,25.0,부산,gold,web,패션,89900.0,1,89900.0,11.40646434386837,1,mid,3,0,0,1,0,0,0,1,0,0,0,0,1,-0.8333333333333334,0.7157142857142857,0.0
O00011,30.0,서울,gold,app,도서,9900.0,1,9900.0,9.200391041122515,1,low,3,0,0,0,1,0,1,0,0,1,0,0,0,-0.4166666666666667,-0.42714285714285716,0.0
O00012,32.0,대구,silver,web,도서,49900.0,3,149700.0,11.916395250412128,0,high,2,0,1,0,0,0,0,1,0,1,0,0,0,-0.25,1.57,2.0
O00014,32.0,서울,basic,web,뷰티,9900.0,1,9900.0,9.200391041122515,0,low,1,0,0,0,1,0,0,1,0,0,1,0,0,-0.25,-0.42714285714285716,0.0
O00015,32.0,서울,basic,app,식품,249900.0,2,499800.0,13.121965298181308,0,high,1,0,0,0,1,0,1,0,0,0,0,1,0,-0.25,6.571428571428571,1.0
O00016,32.0,서울,basic,web,도서,29900.0,1,29900.0,10.305647203635566,0,low,1,0,0,0,1,0,0,1,0,1,0,0,0,-0.25,-0.14142857142857143,0.0
O00017,16.0,서울,silver,app,식품,129900.0,1,129900.0,11.774527900858468,0,high,2,0,0,0,1,0,1,0,0,0,0,1,0,-1.5833333333333333,1.2871428571428571,0.0
O00018,44.0,경기,gold,web,패션,49900.0,1,49900.0,10.817796321618971,1,mid,3,1,0,0,0,0,0,1,0,0,0,0,1,0.75,0.1442857142857143,0.0
O00019,61.0,경기,basic,web,식품,19900.0,2,39800.0,10.591647316585027,0,mid,1,1,0,0,0,0,0,1,0,0,0,1,0,2.1666666666666665,0.0,1.0
O00021,25.0,서울,basic,web,패션,19900.0,3,59700.0,10.997104049659168,0,mid,1,0,0,0,1,0,0,1,0,0,0,0,1,-0.8333333333333334,0.2842857142857143,2.0
O00022,26.0,서울,vip,web,가전,9900.0,1,9900.0,9.200391041122515,1,low,4,0,0,0,1,0,0,1,1,0,0,0,0,-0.75,-0.42714285714285716,0.0
O00023,41.0,서울,basic,app,도서,9900.0,2,19800.0,9.893487720457795,0,low,1,0,0,0,1,0,1,0,0,1,0,0,0,0.5,-0.2857142857142857,1.0
O00024,38.0,서울,basic,web,도서,9900.0,1,9900.0,9.200391041122515,0,low,1,0,0,0,1,0,0,1,0,1,0,0,0,0.25,-0.42714285714285716,0.0
O00025,32.0,경기,basic,web,식품,19900.0,1,19900.0,9.898525260706313,0,low,1,1,0,0,0,0,0,1,0,0,0,1,0,-0.25,-0.2842857142857143,0.0
O00026,42.0,부산,basic,web,패션,49900.0,2,99800.0,11.510933482289435,0,mid,1,0,0,1,0,0,0,1,0,0,0,0,1,0.5833333333333334,0.8571428571428571,1.0
O00027,16.0,서울,basic,app,가전,9900.0,1,9900.0,9.200391041122515,0,low,1,0,0,0,1,0,1,0,1,0,0,0,0,-1.5833333333333333,-0.42714285714285716,0.0
O00028,42.0,경기,basic,app,패션,9900.0,1,9900.0,9.200391041122515,0,low,1,1,0,0,0,0,1,0,0,0,0,0,1,0.5833333333333334,-0.42714285714285716,0.0
O00029,37.0,경기,gold,app,도서,29900.0,2,59800.0,10.998777662206932,1,mid,3,1,0,0,0,0,1,0,0,1,0,0,0,0.16666666666666666,0.2857142857142857,1.0
O00030,26.0,서울,silver,app,패션,9900.0,1,9900.0,9.200391041122515,0,low,2,0,0,0,1,0,1,0,0,0,0,0,1,-0.75,-0.42714285714285716,0.0
