order_id,customer_id,product_id,quantity,amount,channel,order_date
1,C041262,P00842,1,29900.0,app,2025-02-10
2,C014384,P00501,1,19900.0,app,2025-02-13
3,C033040,P00887,3,29900.0,app,2025-03-17
4,C017080,P00675,3,9900.0,web,2025-03-28
5,C030201,P00370,3,89900.0,app,2025-04-11
6,C043649,P00732,3,29900.0,web,2025-04-03
7,C009644,P00941,3,129900.0,web,2025-04-03
8,C042753,P00872,1,29900.0,web,2025-02-19
9,C018569,P00414,2,49900.0,web,2025-01-07
10,C012539,P00585,1,9900.0,web,2025-03-03
11,C030024,P00327,2,19900.0,web,2025-01-10
12,C040065,P00890,2,129900.0,app,2025-03-30
13,C031604,P00777,2,49900.0,app,2025-01-11
14,C044332,P00727,2,49900.0,web,2025-02-25
15,C036716,P00036,1,49900.0,app,2025-03-11
16,C038501,P00505,1,49900.0,app,2025-04-10
17,C017040,P00618,2,29900.0,web,2025-02-06
18,C020112,P00477,1,129900.0,app,2025-01-27
19,C049441,P00900,2,19900.0,web,2025-02-16
20,C018113,P00908,3,89900.0,app,2025-04-05
21,C039998,P00131,1,19900.0,app,2025-01-10
22,C034840,P00988,1,129900.0,web,2025-02-03
23,C031516,P00109,2,89900.0,app,2025-03-29
24,C031813,P00914,1,9900.0,app,2025-02-12
25,C047500,P00908,1,129900.0,app,2025-01-17
26,C003381,P00185,2,29900.0,app,2025-04-11
27,C009975,P00113,2,29900.0,app,2025-02-26
28,C019269,P00637,3,49900.0,app,2025-04-23
29,C003505,P00793,3,9900.0,app,2025-04-28
30,C031410,P00199,2,49900.0,app,2025-02-16
31,C006345,P00475,1,49900.0,web,2025-03-10
32,C033592,P00647,1,49900.0,app,2025-04-19
33,C010535,P00028,2,89900.0,app,2025-04-30
34,C042830,P00530,3,19900.0,app,2025-03-25
35,C019185,P00356,2,129900.0,app,2025-03-30
36,C043104,P00826,2,129900.0,app,2025-01-10
37,C015395,P00804,1,49900.0,app,2025-03-15
38,C037685,P00745,2,89900.0,app,2025-03-11
39,C036061,P00691,2,129900.0,app,2025-03-15
40,C035937,P00259,1,19900.0,app,2025-04-25
41,C022946,P00289,1,49900.0,web,2025-04-07
42,C018228,P00010,2,9900.0,app,2025-04-01
43,C043948,P00540,1,89900.0,app,2025-01-23
44,C017292,P00635,2,89900.0,app,2025-02-08
45,C035274,P00810,1,19900.0,app,2025-01-28
46,C008221,P00372,2,9900.0,web,2025-02-08
47,C044670,P00898,2,29900.0,web,2025-01-08
48,C035701,P00325,2,129900.0,web,2025-02-20
49,C041622,P00935,2,19900.0,app,2025-03-20
50,C044194,P00750,2,29900.0,web,2025-02-14
51,C002555,P00843,2,29900.0,web,2025-02-06
52,C034811,P00694,1,89900.0,web,2025-02-11
53,C010229,P00307,1,89900.0,app,2025-04-26
54,C032379,P00232,2,29900.0,web,2025-03-05
55,C042382,P00663,2,89900.0,app,2025-02-13
56,C030963,P00367,1,49900.0,web,2025-02-18
57,C032808,P00862,2,29900.0,app,2025-03-16
58,C022065,P00566,1,49900.0,web,2025-03-29
59,C032783,P00712,2,29900.0,app,2025-01-15
60,C009425,P00254,2,129900.0,app,2025-02-26
61,C037402,P00887,1,29900.0,web,2025-04-26
