상품명,리뷰내용,평점,리뷰수
"Xiaomi Pad 5| Qualcomm Snapdragon 860| 120Hz Refresh Rate| 6GB, 128GB| 2.5K+ Display (10.95-inch/27.81cm)|1 Billion Colours| Dolby Vision Atmos| Quad Speakers| Wi-Fi| Gray","first i would like to comment on the tab market of India. th",4.6,2886
"Classmate Soft Cover 6 Subject Spiral Binding Notebook, Single Line, 300 Pages","First Of all, the item looks good attractive. The front and ",4.5,8618
"Realme Smart TV Stick 4K","Everything is great. I love this.,Very good and working very",4.5,224
"Cafe JEI French Press Coffee and Tea Maker 600ml with 4 Level Filtration System, Heat Resistant Borosilicate Glass (Black, 600ml)","I gifted it to my mother last month; it was like love at fir",4.5,1065
"Brayden Chopro, Electric Vegetable Chopper for Kitchen with 500 ML Capacity, 400 Watts Copper Motor and 4 Bi-Level SS Blades (Black)","Very isedul to chop veggies in a very short time. Elders in ",4.4,1558
"INOVERA World Map Extended Anti Slip Rubber Gaming Stitched Mouse Pad Desk Mat for Computer Laptop (Black, 900L x 400B x 2H mm)","nice design and print. But hard to differentiate between the",4.4,1030
"Acer 139 cm (55 inches) I Series 4K Ultra HD Android Smart LED TV AR55AR2851UDFL (Black)","About the TV - Wonderful------------------------------------",4.3,4703
"Acer 80 cm (32 inches) I Series HD Ready Android Smart LED TV AR32AR2841HDFL (Black)","About the TV - Wonderful------------------------------------",4.3,4703
"DIGITEK® (DLS-9FT) Lightweight & Portable Aluminum Alloy Light Stand for Ring Light, Reflector, Flash Units, Diffuser, Portrait, Softbox, Studio Lighting & More Ideal for Outdoor & Indoor Shoots","Nice product. Will recommend. Improve packing quality.  Had ",4.3,6183
"Acer 100 cm (40 inches) P Series Full HD Android Smart LED TV AR40AR2841FDFL (Black)","About the TV - Wonderful------------------------------------",4.3,4702
"Kitchenwell Multipurpose Portable Electronic Digital Weighing Scale Weight Machine | Weight Machine | 10 Kg","This weighing scale is made of good quality material. Looks ",4.3,7
"Acer 127 cm (50 inches) I Series 4K Ultra HD Android Smart LED TV AR50AR2851UDFL (Black)","About the TV - Wonderful------------------------------------",4.3,4703
"Acer 109 cm (43 inches) I Series 4K Ultra HD Android Smart LED TV AR43AR2851UDFL (Black)","About the TV - Wonderful------------------------------------",4.3,4703
"Brand Conquer 6 in 1 with OTG, SD Card Reader, USB Type C, USB 3.0 and Micro USB, for Memory Card | Portable Card Reader | Compatible with TF, SD, Micro SD, SDHC, SDXC, MMC, RS-MMC, Micro SDXC","I'm really liked the product more than expected. It's really",4.3,7758
"SWAPKART Portable Flexible Adjustable Eye Protection USB LED Desk Light Table Lamp for Reading, Working on PC, Laptop, Power Bank, Bedroom ( Multicolour )","bright enough to read in close proximity, can light up room.",4.3,1552
"Mi 108 cm (43 inches) Full HD Android LED TV 4C | L43M6-INC (Black)","NOTE:@ If you select brand-authorized TV installation, then ",4.3,27151
"Philips GC1905 1440-Watt Steam Iron with Spray (Blue)","Update as on 28.10.2018:*********************************The",4.3,37974
"Parker Vector Camouflage Gift Set - Roller Ball Pen & Parker Logo Keychain (Black Body, Blue Ink), 2 Piece Set","Good,Amazing,Nice pen and keychain,I just live it,This is th",4.3,2493
"TP-Link USB Bluetooth Adapter for PC, 5.0 Bluetooth Dongle Receiver (UB500) Supports Windows 11/10/8.1/7 for Desktop, Laptop, Mouse, Keyboard, Printers, Headsets, Speakers, PS4/ Xbox Controllers","***This is the Update MARCH**.I want to make a huge point to",4.3,95116
"Parker Moments Vector Timecheck Gold Trim Roller Ball Pen (Black)",",Writes smoothly,Nice,The look and feel of the pen is amazin",4.2,1926
